"ID","A_WT","B_WT","C_WT","D_WT","A_KO1","B_KO1","C_KO1","D_KO1","padj","log2FoldChange","pvalue","foldChange","log10padj"
"LOH12CR1",362.899433582647,419.974766341898,355.409193891425,360.39637201024,347.022307914736,388.467958793034,343.435542348309,338.378810236995,0.861656310616687,-0.0789324105897233,0.457644296278213,0.946757985249961,0.0646659269443101
"FBXW11",3530.0217630312,3690.23512963364,3420.58330390322,3614.59203134131,3741.85395914452,3574.09288657649,3878.53205825357,3645.72591631846,0.743973854830818,0.0582155145245648,0.256088272221582,1.04117712052617,0.128442326419469
"TOPORS",1012.07437342257,1089.37617056198,1094.77080709043,1048.33797220137,1115.34965419241,1095.96757456586,1020.23251780271,1076.28922774177,0.952720931984521,0.0204580126563383,0.750397112750354,1.01428143279255,0.0210342929061537
"SPATA31E1",17.0275394056374,7.46148062028754,17.4942349324795,4.83105056313995,21.0652519181469,15.0132544461076,21.064046597363,8.15370627077096,0.842932571432126,0.478657927492799,0.420977190953565,1.39344680408939,0.0742071644335831
"CDC42EP3",1919.85506798562,2070.02790922834,2209.79809673425,2331.46500177134,1718.48107753304,2049.30923189369,2555.16043507142,2537.84107677746,0.939860139609149,0.0548209965478859,0.700174923338585,1.03873021408377,0.0269367688632343
"PCGF2",2120.99287721471,1871.76570988927,1630.64684554848,1983.62936122526,1910.28573973511,2121.56051891558,1799.60224190514,1871.27558914193,0.974827327378335,0.0183838234229529,0.856816872541152,1.01282422946954,0.0110723047199106
"RABAC1",1977.32301347964,1855.7768228458,1793.61945518263,1842.56268478158,1718.48107753304,1778.13232346087,1872.86849093945,1757.12370135114,0.748008487545013,-0.066863561979801,0.260371442821486,0.954711298473224,0.12609347423039
"FAF1",2778.68158675745,2639.23228797599,2293.58627456875,2594.27415240615,2730.72186707347,2586.03307834203,2662.31232428409,2526.62973065515,0.942650404645521,0.0280244211742902,0.709259524753738,1.01961494235153,0.0256493417096877
"PPAPDC3",327.78013355852,330.436998898448,299.243492266096,276.336092211605,306.000501547819,321.846642188432,326.950636315591,253.784107677746,0.971227115182601,-0.0277639083240625,0.829386069727791,0.980939517956994,0.0126792012587328
"BEX5",400.147176032479,399.722176086832,296.481244645178,340.105959645052,372.522349710388,373.454704346927,386.479463655964,369.974422036232,0.912057747506638,0.0669899023443895,0.59516132501872,1.04752879525091,0.0399776631743248
"FAM208B",1621.87312838696,1693.75610080527,1625.12235030664,1974.93347021161,2120.93825891658,1789.39226429545,1758.38997682334,2102.63700457506,0.561122603025128,0.167768981440154,0.112957492448087,1.12332001154901,0.250942236783311
"CPTP",955.6706491414,762.136949072227,675.829917917891,833.839327197955,794.936085542703,798.517470852348,733.578318455989,743.006483924004,0.896936726626644,-0.0716554745153639,0.550901342117813,0.951545484798524,0.0472381926817988
"TCTEX1D1",22.3486454698991,11.7251838318804,20.2564825533973,28.9863033788397,11.0869746937615,16.8899112518711,13.7374216939324,12.2305594061564,0.629750913416729,-0.625540369352017,0.154831413140869,0.648176953614576,0.200831193910743
"C5orf22",1477.13904343905,1504.02130788939,1512.79094705599,1560.4293318942,1503.39376847407,1424.38251557446,1523.93797991357,1495.18588740262,0.919233614958348,-0.0262540999179477,0.62308251908017,0.98196662758324,0.0365741025486778
"CXXC5",3617.2879024851,3087.98705099614,2237.42057294343,2923.7518008123,3336.07068535285,3272.88946925146,2567.0662005395,2456.30401406975,0.97573051533858,-0.028651024507123,0.863827213959855,0.980336521616803,0.0106701125196081
"NOMO3",2896.81014138406,3269.19443748884,3435.31529121478,3525.70070097953,3107.67900666136,2918.20133296217,3318.96108125406,3732.35904544541,0.991780103914288,-0.00566754544888763,0.95592876673839,0.996079263089718,0.00358460833257456
"KIAA1715",1863.45134370444,1624.47092361689,1183.1627309598,1458.97727006826,1698.52452308427,1504.14042981941,1244.61040547027,1224.07515389949,0.879325925291094,-0.112119855145893,0.501741315517753,0.925227559477647,0.0558501222872749
"BIVM-ERCC5",651.303382265631,577.731785170835,526.668546388329,515.956200143346,559.892222034958,665.274837643143,481.725587400562,512.664281774724,0.969168505293641,-0.0327399829658948,0.812203356330967,0.977561936595004,0.013600707410535
